customer_id,age,gender,avg_budget,preferred_time
C0109,33,F,299.51,lunch
C0110,37,F,261.67,lunch
C0111,25,F,342.45,lunch
C0112,50,M,325.24,dinner
C0113,29,M,527.33,dinner
C0114,39,M,314.7,morning
C0115,63,F,275.27,afternoon
C0116,25,M,305.93,morning
C0117,44,M,95.09,dinner
C0118,50,M,182.21,dinner
C0119,45,M,318.01,afternoon
C0120,36,M,339.43,dinner
C0121,21,M,152.1,dinner
C0122,34,F,286.27,dinner
C0123,61,F,232.12,late_night
C0124,58,M,307.12,dinner
C0125,54,F,240.07,lunch
C0126,48,F,309.23,lunch
C0127,52,F,174.04,afternoon
C0128,50,M,202.25,morning
C0129,20,M,160.7,morning
C0130,48,M,150.34,afternoon
C0131,20,M,105.81,late_night
C0132,49,M,262.3,dinner
C0133,64,F,334.59,lunch
C0134,34,F,305.14,dinner
C0135,57,F,336.64,dinner
C0136,56,M,334.3,dinner
C0137,46,F,196.64,late_night
C0138,42,M,114.65,late_night
C0139,41,M,251.91,lunch
C0140,53,M,319.75,dinner
C0141,62,M,205.52,lunch
C0142,40,M,239.78,dinner
C0143,32,M,222.72,dinner
C0144,40,F,231.05,afternoon
C0145,39,F,208.66,late_night
C0146,39,M,254.5,morning
C0147,39,F,335.44,dinner
C0148,54,M,99.57,morning
C0149,50,M,206.7,dinner
C0150,61,F,312.15,lunch
C0151,22,F,210.52,dinner
C0152,49,F,237.9,dinner
C0153,47,M,421.52,morning
C0154,33,M,363.39,afternoon
C0155,30,F,289.28,dinner
C0156,36,M,251.38,afternoon
C0157,45,M,181.4,lunch
C0158,43,M,317.2,dinner
C0159,40,M,392.5,dinner
C0160,18,M,116.13,lunch
C0161,18,F,72.56,late_night
C0162,42,M,222.55,late_night
C0163,57,M,264.71,dinner
C0164,56,M,296.23,dinner
C0165,22,M,83.66,lunch
C0166,29,F,484.37,dinner
C0167,43,F,351.35,dinner
C0168,46,M,193.39,lunch
C0169,31,M,369.91,lunch
C0170,53,M,297.99,dinner
C0171,50,M,419.05,lunch
C0172,27,F,250.16,lunch
C0173,22,M,133.78,lunch
C0174,27,M,352.46,lunch
C0175,36,F,416.32,dinner
C0176,22,F,150.51,lunch
C0177,62,F,233.8,dinner
C0178,49,F,254.87,late_night
C0179,44,M,298.63,dinner
C0180,52,F,332.6,lunch
C0181,50,F,420.64,morning
C0182,54,F,93.83,lunch
C0183,29,F,343.93,afternoon
C0184,27,M,289.15,lunch
C0185,60,M,272.48,lunch
C0186,34,F,237.73,morning
C0187,43,M,320.8,lunch
C0188,43,M,212.84,late_night
C0189,51,F,247.73,dinner
C0190,62,M,112.69,dinner
C0191,28,F,336.2,afternoon
C0192,38,F,358.13,lunch
C0193,53,F,294.14,dinner
C0194,52,M,193.19,afternoon
C0195,52,F,106.99,dinner
C0196,56,M,152.35,dinner
C0197,49,F,293.77,afternoon
C0198,54,M,233.82,lunch
C0199,29,M,455.29,afternoon
C0200,42,F,214.84,afternoon
C0201,52,F,354.44,dinner
C0202,39,F,302.1,dinner
C0203,30,M,276.08,dinner
C0204,29,F,385.4,afternoon
C0205,58,F,217.1,morning
C0206,45,M,328.72,dinner
C0207,31,M,279.98,dinner
C0208,64,M,411.98,morning
C0209,33,M,120.8,late_night
C0210,42,M,214.26,afternoon
C0211,38,M,377.07,dinner
C0212,56,F,303.36,afternoon
C0213,62,M,275.96,lunch
C0214,28,M,467.53,dinner
C0215,35,M,309.01,dinner
C0216,55,M,256.62,lunch
C0217,24,F,78.03,morning
C0218,26,M,261.65,late_night
C0219,44,M,212.32,afternoon
C0220,54,F,268.56,dinner
C0221,55,F,342.35,late_night
C0222,24,F,126.13,dinner
C0223,42,F,110.54,dinner
C0224,48,F,335.56,dinner
C0225,36,F,331.09,afternoon
C0226,44,M,368.03,dinner
C0227,27,F,269.77,dinner
C0228,45,F,249.63,dinner
C0229,37,F,427.11,afternoon
C0230,30,F,377.09,lunch
C0231,45,F,241.3,lunch
C0232,42,M,282.14,lunch
C0233,50,M,267.93,lunch
C0234,54,M,251.01,dinner
C0235,53,M,287.89,afternoon
C0236,35,F,305.44,afternoon
C0237,64,F,366.09,morning
C0238,48,F,326.74,lunch
C0239,18,M,210.02,dinner
C0240,33,F,481.61,afternoon
C0241,40,F,425.18,lunch
C0242,25,F,219.17,dinner
C0243,45,F,153.27,afternoon
C0244,45,M,377.13,afternoon
C0245,45,F,143.95,afternoon
C0246,44,M,188.3,lunch
C0247,34,F,235.47,dinner
C0248,30,F,139.94,late_night
C0249,45,M,198.3,late_night
C0250,52,M,217.72,morning
C0251,23,F,83.99,lunch
C0252,47,F,396.52,lunch
C0253,62,F,225.22,lunch
C0254,18,M,91.51,afternoon
C0255,35,F,128.69,dinner
C0256,39,F,435.39,lunch
C0257,44,F,194.47,lunch
C0258,58,M,258.79,afternoon
C0259,52,M,267.49,late_night
C0260,22,F,125.78,lunch
C0261,48,M,275.56,dinner
C0262,40,M,265.46,dinner
C0263,54,M,323.93,lunch
C0264,36,M,381.29,dinner
C0265,34,M,226.04,lunch
C0266,18,M,117.54,dinner
C0267,62,M,140.51,afternoon
C0268,57,F,292.84,dinner
C0269,49,M,249.87,dinner
C0270,20,M,128.7,dinner
C0271,29,M,243.67,late_night
C0272,40,M,453.14,dinner
C0273,32,F,359.37,dinner
C0274,28,F,421.28,lunch
C0275,56,M,334.67,morning
C0276,47,M,109.3,lunch
C0277,32,F,388.61,dinner
C0278,55,M,239.03,dinner
C0279,50,M,211.06,lunch
C0280,59,F,356.76,dinner
C0281,34,M,298.53,afternoon
C0282,37,F,379.64,morning
C0283,41,F,260.24,dinner
C0284,19,M,125.93,afternoon
C0285,30,F,337.56,dinner
C0286,28,F,162.84,dinner
C0287,64,F,161.9,lunch
C0288,42,F,289.01,dinner
C0289,20,F,152.19,afternoon
C0290,49,F,335.89,lunch
C0291,36,M,249.68,dinner
C0292,59,M,333.63,lunch
C0293,39,F,156.59,lunch
C0294,51,F,234.68,dinner
C0295,31,F,178.15,lunch
C0296,43,F,157.17,dinner
C0297,64,M,194.02,afternoon
C0298,47,F,267.12,dinner
C0299,60,F,318.11,lunch
C0300,52,F,200.37,dinner
C0301,32,M,379.97,morning
C0302,31,F,306.9,afternoon
C0303,43,M,265.37,dinner
C0304,19,F,229.86,afternoon
C0305,62,M,282.02,morning
C0306,40,M,187.24,afternoon
C0307,63,M,221.34,lunch
C0308,32,F,390.19,afternoon
C0309,42,F,188.31,afternoon
C0310,56,F,296.09,lunch
C0311,34,F,235.34,lunch
C0312,61,F,163.48,lunch
C0313,42,M,267.46,lunch
C0314,21,M,195.53,lunch
C0315,27,F,299.2,lunch
C0316,64,F,368.4,late_night
C0317,53,M,439.95,lunch
C0318,25,F,401.45,lunch
C0319,57,M,167.02,dinner
C0320,58,M,234.77,lunch
C0321,54,M,361.66,dinner
C0322,51,M,145.23,dinner
C0323,62,F,289.73,lunch
C0324,39,M,280.57,dinner
C0325,38,F,254.19,afternoon
C0326,21,F,118.7,lunch
C0327,47,M,202.61,lunch
C0328,48,F,180.88,lunch
C0329,41,M,50.0,afternoon
C0330,53,M,304.77,dinner
C0331,41,M,230.88,lunch
C0332,45,F,177.39,morning
C0333,28,M,323.73,lunch
C0334,47,F,271.89,dinner
C0335,55,M,292.27,dinner
C0336,32,F,320.75,afternoon
C0337,28,F,133.06,lunch
C0338,61,F,293.47,lunch
C0339,22,M,121.77,dinner
C0340,36,M,199.8,late_night
C0341,37,M,137.25,dinner
C0342,64,F,253.85,dinner
C0343,18,M,73.79,lunch
C0344,54,M,313.82,lunch
C0345,28,F,280.2,afternoon
C0346,20,F,173.84,lunch
C0347,50,M,190.16,lunch
C0348,22,F,50.0,dinner
C0349,40,F,137.98,morning
C0350,57,M,268.37,late_night
C0351,19,M,269.49,afternoon
C0352,52,M,201.65,dinner
C0353,47,F,205.22,dinner
C0354,28,M,450.5,morning
C0355,26,F,249.16,dinner
C0356,18,F,87.91,afternoon
C0357,57,F,296.34,dinner
C0358,54,F,289.78,late_night
C0359,31,F,351.61,afternoon
C0360,54,M,288.04,dinner
C0361,22,F,182.67,dinner
C0362,21,M,85.44,morning
C0363,42,M,228.38,late_night
C0364,57,F,325.81,dinner
C0365,25,M,96.19,afternoon
C0366,55,F,169.35,late_night
C0367,50,M,251.47,late_night
C0368,42,F,384.11,dinner
C0369,34,F,276.08,late_night
C0370,31,F,382.31,lunch
C0371,57,F,269.36,lunch
C0372,23,M,73.48,dinner
C0373,23,F,210.74,afternoon
C0374,59,F,179.53,lunch
C0375,32,F,298.73,dinner
C0376,47,M,334.35,afternoon
C0377,56,F,316.25,lunch
C0378,44,M,330.79,late_night
C0379,50,F,255.73,dinner
C0380,27,M,252.23,dinner
C0381,22,F,132.62,afternoon
C0382,55,M,316.33,afternoon
C0383,30,F,273.01,dinner
C0384,46,M,171.7,lunch
C0385,25,M,257.26,late_night
C0386,29,F,244.74,dinner
C0387,62,F,319.57,lunch
C0388,53,M,358.45,dinner
C0389,53,F,307.45,dinner
C0390,37,F,456.76,morning
C0391,28,M,288.8,afternoon
C0392,23,M,166.32,dinner
C0393,25,M,132.05,afternoon
C0394,60,F,201.59,afternoon
C0395,29,F,273.12,afternoon
C0396,57,F,214.81,late_night
C0397,60,M,258.75,afternoon
C0398,21,M,186.29,lunch
C0399,22,M,160.84,dinner
C0400,59,F,285.37,dinner
C0401,45,F,199.61,lunch
C0402,46,F,235.32,dinner
C0403,31,F,201.04,dinner
C0404,38,F,287.42,dinner
C0405,43,F,453.1,afternoon
C0406,38,F,352.4,lunch
C0407,64,F,237.36,afternoon
C0408,43,F,215.85,dinner
C0409,58,M,233.2,dinner
C0410,43,M,174.2,dinner
C0411,28,F,293.45,morning
C0412,44,F,314.59,dinner
C0413,51,F,262.91,lunch
C0414,61,M,312.04,afternoon
C0415,41,M,154.46,lunch
C0416,41,F,272.17,dinner
C0417,50,F,336.44,morning
C0418,39,F,115.51,morning
C0419,43,M,228.49,afternoon
C0420,45,M,161.48,morning
C0421,57,F,455.87,lunch
C0422,30,F,305.92,dinner
C0423,47,F,187.4,dinner
C0424,36,F,367.43,late_night
C0425,49,F,430.52,dinner
C0426,46,M,204.11,dinner
C0427,47,M,274.25,dinner
C0428,18,F,208.33,late_night
C0429,31,M,323.48,afternoon
C0430,45,M,395.44,dinner
C0431,47,M,155.8,afternoon
C0432,18,F,160.19,late_night
C0433,25,M,159.25,lunch
C0434,63,M,187.77,lunch
C0435,51,F,221.05,afternoon
C0436,45,M,244.43,afternoon
C0437,49,M,324.85,lunch
C0438,18,M,213.58,dinner
C0439,20,F,186.08,dinner
C0440,25,M,187.09,afternoon
C0441,64,M,327.02,lunch
C0442,45,F,263.8,afternoon
C0443,64,M,318.96,dinner
C0444,41,F,299.87,late_night
C0445,31,M,424.98,morning
C0446,33,F,342.03,late_night
C0447,21,F,65.34,dinner
C0448,35,F,209.95,dinner
C0449,24,F,218.16,dinner
C0450,38,M,376.99,late_night
C0451,36,F,436.74,lunch
C0452,18,F,197.91,dinner
C0453,64,F,130.11,late_night
C0454,19,F,206.96,morning
C0455,20,F,72.17,lunch
C0456,22,M,180.3,late_night
C0457,54,F,349.74,dinner
C0458,51,F,76.41,dinner
C0459,61,M,221.6,dinner
C0460,47,F,270.6,lunch
C0461,63,M,143.26,dinner
C0462,34,M,287.86,dinner
C0463,31,M,386.97,lunch
C0464,42,F,334.57,morning
C0465,56,F,299.39,dinner
C0466,63,M,153.99,late_night
C0467,21,F,205.15,dinner
C0468,23,M,207.57,lunch
C0469,35,F,434.67,afternoon
C0470,58,F,260.14,dinner
C0471,55,F,238.1,late_night
C0472,55,F,195.66,late_night
C0473,29,F,325.6,dinner
C0474,29,F,398.27,dinner
C0475,62,F,169.7,late_night
C0476,62,M,290.82,dinner
C0477,34,M,115.91,dinner
C0478,63,F,147.63,late_night
C0479,19,F,175.88,morning
C0480,53,F,191.94,morning
C0481,43,M,315.95,afternoon
C0482,56,F,240.03,dinner
C0483,57,F,174.05,lunch
C0484,64,M,460.59,afternoon
C0485,41,F,257.63,late_night
C0486,50,M,264.32,dinner
C0487,53,F,151.44,late_night
C0488,60,F,261.62,dinner
C0489,34,M,556.01,lunch
C0490,51,M,242.32,lunch
C0491,26,F,264.78,lunch
C0492,26,M,324.25,dinner
C0493,57,M,247.2,lunch
C0494,60,F,391.66,dinner
C0495,57,F,125.36,dinner
C0496,20,M,129.98,dinner
C0497,54,M,328.86,dinner
C0498,34,F,240.55,late_night
C0499,27,F,321.75,morning
C0500,29,F,494.59,lunch
