customer_id,menu_id,rating,age,avg_budget,gender_encoded,preferred_time_encoded,price,popularity,category_encoded
C0180,M034,1,52,332.6,0,3,16.74,4.9,2
C0480,M017,1,53,191.94,0,4,92.38,4.5,1
C0485,M033,1,41,257.63,0,2,23.34,4.7,2
C0227,M039,1,27,269.77,0,1,32.24,3.0,0
C0238,M016,1,48,326.74,0,3,118.34,2.7,1
C0458,M043,1,51,76.41,0,1,34.4,4.4,0
C0157,M044,1,45,181.4,1,3,22.4,4.2,0
C0004,M042,1,28,276.59,1,1,37.48,4.7,0
C0056,M009,1,32,197.19,0,3,93.4,4.9,1
C0251,M030,1,23,83.99,0,3,16.95,3.2,2
C0098,M008,1,19,168.89,1,0,84.02,4.2,1
C0326,M027,1,21,118.7,0,3,15.0,4.3,2
C0414,M044,1,61,312.04,1,0,22.4,4.2,0
C0407,M032,1,64,237.36,0,0,15.0,3.0,2
C0266,M046,1,18,117.54,1,1,34.35,3.1,0
C0007,M013,0,20,126.53,1,1,37.85,2.8,1
C0071,M034,1,49,400.89,0,1,16.74,4.9,2
C0210,M040,1,42,214.26,1,0,31.02,4.4,0
C0329,M046,1,41,50.0,1,0,34.35,3.1,0
C0125,M014,1,54,240.07,0,3,95.03,2.7,1
C0232,M023,1,42,282.14,1,3,37.23,3.5,2
C0414,M009,1,61,312.04,1,0,93.4,4.9,1
C0037,M043,1,24,56.22,0,3,34.4,4.4,0
C0190,M006,1,62,112.69,1,1,78.26,4.9,1
C0009,M010,1,50,269.36,0,1,73.6,4.9,1
C0143,M029,1,32,222.72,1,1,22.0,3.2,2
C0285,M010,1,30,337.56,0,1,73.6,4.9,1
C0411,M020,0,28,293.45,0,4,88.49,3.1,1
C0151,M006,1,22,210.52,0,1,78.26,4.9,1
C0320,M046,1,58,234.77,1,3,34.35,3.1,0
C0337,M006,1,28,133.06,0,3,78.26,4.9,1
C0372,M039,1,23,73.48,1,1,32.24,3.0,0
C0344,M041,0,54,313.82,1,3,32.56,4.9,0
C0463,M026,1,31,386.97,1,3,28.14,4.4,2
C0357,M046,0,57,296.34,0,1,34.35,3.1,0
C0389,M045,1,53,307.45,0,1,45.15,3.1,0
C0048,M005,1,64,335.56,1,3,34.2,5.0,1
C0341,M020,1,37,137.25,1,1,88.49,3.1,1
C0209,M022,1,33,120.8,1,2,25.47,5.0,2
C0231,M003,1,45,241.3,0,3,118.59,4.6,1
C0215,M034,1,35,309.01,1,1,16.74,4.9,2
C0336,M036,1,32,320.75,0,0,30.04,5.0,0
C0169,M034,1,31,369.91,1,3,16.74,4.9,2
C0481,M018,1,43,315.95,1,0,22.11,3.3,1
C0085,M009,1,28,351.24,1,1,93.4,4.9,1
C0089,M014,1,36,388.75,0,3,95.03,2.7,1
C0238,M015,1,48,326.74,0,3,48.73,4.3,1
C0323,M002,1,62,289.73,0,3,83.59,4.5,1
C0221,M041,1,55,342.35,0,2,32.56,4.9,0
C0115,M032,1,63,275.27,0,0,15.0,3.0,2
C0447,M029,1,21,65.34,0,1,22.0,3.2,2
C0209,M024,1,33,120.8,1,2,18.17,3.7,2
C0125,M021,1,54,240.07,0,3,32.13,4.5,2
C0284,M021,1,19,125.93,1,0,32.13,4.5,2
C0337,M009,1,28,133.06,0,3,93.4,4.9,1
C0142,M030,0,40,239.78,1,1,16.95,3.2,2
C0073,M007,0,56,96.5,0,2,104.55,2.6,1
C0066,M036,0,44,286.88,0,4,30.04,5.0,0
C0133,M039,1,64,334.59,0,3,32.24,3.0,0
C0415,M004,1,41,154.46,1,3,111.87,3.1,1
C0097,M006,1,43,251.04,1,3,78.26,4.9,1
C0031,M012,1,38,152.15,1,0,77.59,3.3,1
C0305,M040,1,62,282.02,1,4,31.02,4.4,0
C0171,M042,1,50,419.05,1,3,37.48,4.7,0
C0257,M028,0,44,194.47,0,3,15.0,3.1,2
C0096,M011,1,33,355.61,0,1,113.87,4.6,1
C0426,M004,1,46,204.11,1,1,111.87,3.1,1
C0369,M036,1,34,276.08,0,2,30.04,5.0,0
C0495,M038,1,57,125.36,0,1,64.32,3.1,0
C0358,M033,0,54,289.78,0,2,23.34,4.7,2
C0149,M007,0,50,206.7,1,1,104.55,2.6,1
C0326,M001,0,21,118.7,0,3,111.94,4.3,1
C0451,M025,0,36,436.74,0,3,34.2,5.0,2
C0227,M002,0,27,269.77,0,1,83.59,4.5,1
C0426,M001,1,46,204.11,1,1,111.94,4.3,1
C0067,M025,1,30,50.0,0,1,34.2,5.0,2
C0464,M027,1,42,334.57,0,4,15.0,4.3,2
C0260,M046,1,22,125.78,0,3,34.35,3.1,0
C0396,M030,0,57,214.81,0,2,16.95,3.2,2
C0102,M037,1,20,106.64,1,4,57.51,3.8,0
C0075,M005,1,19,117.04,0,2,34.2,5.0,1
C0013,M037,1,45,267.77,1,2,57.51,3.8,0
C0493,M037,0,57,247.2,1,3,57.51,3.8,0
C0484,M036,1,64,460.59,1,0,30.04,5.0,0
C0447,M034,0,21,65.34,0,1,16.74,4.9,2
C0270,M029,1,20,128.7,1,1,22.0,3.2,2
C0267,M040,1,62,140.51,1,0,31.02,4.4,0
C0296,M006,1,43,157.17,0,1,78.26,4.9,1
C0170,M031,1,53,297.99,1,1,15.0,4.2,2
C0074,M006,1,34,297.35,1,3,78.26,4.9,1
C0216,M008,1,55,256.62,1,3,84.02,4.2,1
C0402,M046,1,46,235.32,0,1,34.35,3.1,0
C0463,M032,1,31,386.97,1,3,15.0,3.0,2
C0113,M003,1,29,527.33,1,1,118.59,4.6,1
C0271,M046,1,29,243.67,1,2,34.35,3.1,0
C0282,M044,1,37,379.64,0,4,22.4,4.2,0
C0442,M031,0,45,263.8,0,0,15.0,4.2,2
C0153,M022,1,47,421.52,1,4,25.47,5.0,2
C0373,M034,0,23,210.74,0,0,16.74,4.9,2
C0196,M025,1,56,152.35,1,1,34.2,5.0,2
C0219,M003,0,44,212.32,1,0,118.59,4.6,1
C0277,M045,0,32,388.61,0,1,45.15,3.1,0
C0022,M007,0,31,299.45,1,4,104.55,2.6,1
C0427,M028,1,47,274.25,1,1,15.0,3.1,2
C0295,M022,1,31,178.15,0,3,25.47,5.0,2
C0333,M035,1,28,323.73,1,3,48.1,2.9,2
C0174,M011,1,27,352.46,1,3,113.87,4.6,1
C0269,M008,1,49,249.87,1,1,84.02,4.2,1
C0258,M026,1,58,258.79,1,0,28.14,4.4,2
C0207,M044,1,31,279.98,1,1,22.4,4.2,0
C0142,M007,0,40,239.78,1,1,104.55,2.6,1
C0223,M023,1,42,110.54,0,1,37.23,3.5,2
C0216,M033,1,55,256.62,1,3,23.34,4.7,2
C0479,M021,1,19,175.88,0,4,32.13,4.5,2
C0268,M027,1,57,292.84,0,1,15.0,4.3,2
C0056,M035,1,32,197.19,0,3,48.1,2.9,2
C0361,M015,1,22,182.67,0,1,48.73,4.3,1
C0387,M037,0,62,319.57,0,3,57.51,3.8,0
C0196,M005,1,56,152.35,1,1,34.2,5.0,1
C0001,M001,1,56,205.98,1,4,111.94,4.3,1
C0111,M001,0,25,342.45,0,3,111.94,4.3,1
C0056,M027,1,32,197.19,0,3,15.0,4.3,2
C0115,M035,1,63,275.27,0,0,48.1,2.9,2
C0109,M013,1,33,299.51,0,3,37.85,2.8,1
C0326,M022,0,21,118.7,0,3,25.47,5.0,2
C0270,M024,1,20,128.7,1,1,18.17,3.7,2
C0453,M027,1,64,130.11,0,2,15.0,4.3,2
C0211,M022,1,38,377.07,1,1,25.47,5.0,2
C0288,M025,1,42,289.01,0,1,34.2,5.0,2
C0127,M013,1,52,174.04,0,0,37.85,2.8,1
C0292,M010,1,59,333.63,1,3,73.6,4.9,1
C0459,M045,0,61,221.6,1,1,45.15,3.1,0
C0022,M046,0,31,299.45,1,4,34.35,3.1,0
C0008,M014,1,38,354.26,0,3,95.03,2.7,1
C0265,M005,1,34,226.04,1,3,34.2,5.0,1
C0039,M013,1,41,324.45,0,3,37.85,2.8,1
C0280,M018,1,59,356.76,0,1,22.11,3.3,1
C0034,M011,1,62,283.53,1,1,113.87,4.6,1
C0041,M041,0,59,182.86,0,3,32.56,4.9,0
C0010,M036,0,61,96.94,1,1,30.04,5.0,0
C0143,M021,0,32,222.72,1,1,32.13,4.5,2
C0161,M015,1,18,72.56,0,2,48.73,4.3,1
C0450,M021,1,38,376.99,1,2,32.13,4.5,2
C0486,M033,1,50,264.32,1,1,23.34,4.7,2
C0490,M003,0,51,242.32,1,3,118.59,4.6,1
C0267,M035,1,62,140.51,1,0,48.1,2.9,2
C0240,M029,1,33,481.61,0,0,22.0,3.2,2
C0025,M017,1,23,166.15,1,3,92.38,4.5,1
C0485,M037,1,41,257.63,0,2,57.51,3.8,0
C0282,M001,1,37,379.64,0,4,111.94,4.3,1
C0220,M019,1,54,268.56,0,1,106.03,4.0,1
C0244,M019,1,45,377.13,1,0,106.03,4.0,1
C0151,M027,1,22,210.52,0,1,15.0,4.3,2
C0220,M040,1,54,268.56,0,1,31.02,4.4,0
C0101,M038,1,58,353.95,1,0,64.32,3.1,0
C0252,M024,1,47,396.52,0,3,18.17,3.7,2
C0463,M034,1,31,386.97,1,3,16.74,4.9,2
C0227,M007,0,27,269.77,0,1,104.55,2.6,1
C0134,M036,1,34,305.14,0,1,30.04,5.0,0
C0488,M009,1,60,261.62,0,1,93.4,4.9,1
C0066,M023,1,44,286.88,0,4,37.23,3.5,2
C0282,M010,1,37,379.64,0,4,73.6,4.9,1
C0239,M029,1,18,210.02,1,1,22.0,3.2,2
C0392,M016,1,23,166.32,1,1,118.34,2.7,1
C0315,M042,1,27,299.2,0,3,37.48,4.7,0
C0379,M033,1,50,255.73,0,1,23.34,4.7,2
C0112,M022,1,50,325.24,1,1,25.47,5.0,2
C0258,M036,1,58,258.79,1,0,30.04,5.0,0
C0335,M001,1,55,292.27,1,1,111.94,4.3,1
C0224,M012,1,48,335.56,0,1,77.59,3.3,1
C0363,M031,1,42,228.38,1,2,15.0,4.2,2
C0159,M009,1,40,392.5,1,1,93.4,4.9,1
C0219,M023,1,44,212.32,1,0,37.23,3.5,2
C0464,M033,0,42,334.57,0,4,23.34,4.7,2
C0168,M026,1,46,193.39,1,3,28.14,4.4,2
C0056,M030,1,32,197.19,0,3,16.95,3.2,2
C0488,M021,1,60,261.62,0,1,32.13,4.5,2
C0189,M002,1,51,247.73,0,1,83.59,4.5,1
C0017,M030,1,56,87.86,1,1,16.95,3.2,2
C0338,M005,1,61,293.47,0,3,34.2,5.0,1
C0171,M027,1,50,419.05,1,3,15.0,4.3,2
C0403,M018,0,31,201.04,0,1,22.11,3.3,1
C0044,M003,1,40,337.97,0,1,118.59,4.6,1
C0022,M043,1,31,299.45,1,4,34.4,4.4,0
C0054,M042,1,21,98.75,1,1,37.48,4.7,0
C0429,M028,1,31,323.48,1,0,15.0,3.1,2
C0342,M034,1,64,253.85,0,1,16.74,4.9,2
C0275,M028,1,56,334.67,1,4,15.0,3.1,2
C0011,M021,1,42,315.32,1,1,32.13,4.5,2
C0259,M002,1,52,267.49,1,2,83.59,4.5,1
C0075,M029,1,19,117.04,0,2,22.0,3.2,2
C0222,M010,1,24,126.13,0,1,73.6,4.9,1
C0432,M005,1,18,160.19,0,2,34.2,5.0,1
C0388,M033,1,53,358.45,1,1,23.34,4.7,2
C0209,M017,1,33,120.8,1,2,92.38,4.5,1
C0246,M023,0,44,188.3,1,3,37.23,3.5,2
C0082,M001,1,55,196.54,1,1,111.94,4.3,1
C0025,M027,1,23,166.15,1,3,15.0,4.3,2
C0180,M017,1,52,332.6,0,3,92.38,4.5,1
C0351,M027,1,19,269.49,1,0,15.0,4.3,2
C0490,M021,1,51,242.32,1,3,32.13,4.5,2
C0274,M027,0,28,421.28,0,3,15.0,4.3,2
C0335,M018,1,55,292.27,1,1,22.11,3.3,1
C0104,M013,1,41,277.72,1,3,37.85,2.8,1
C0361,M035,1,22,182.67,0,1,48.1,2.9,2
C0407,M014,1,64,237.36,0,0,95.03,2.7,1
C0181,M046,1,50,420.64,0,4,34.35,3.1,0
C0225,M014,0,36,331.09,0,0,95.03,2.7,1
C0451,M004,0,36,436.74,0,3,111.87,3.1,1
C0229,M043,1,37,427.11,0,0,34.4,4.4,0
C0479,M010,1,19,175.88,0,4,73.6,4.9,1
C0351,M044,1,19,269.49,1,0,22.4,4.2,0
C0063,M005,1,28,222.6,1,3,34.2,5.0,1
C0333,M005,1,28,323.73,1,3,34.2,5.0,1
C0175,M001,1,36,416.32,0,1,111.94,4.3,1
C0353,M010,1,47,205.22,0,1,73.6,4.9,1
C0320,M005,0,58,234.77,1,3,34.2,5.0,1
C0130,M034,1,48,150.34,1,0,16.74,4.9,2
C0326,M004,0,21,118.7,0,3,111.87,3.1,1
C0369,M041,1,34,276.08,0,2,32.56,4.9,0
C0128,M028,0,50,202.25,1,4,15.0,3.1,2
C0043,M021,1,26,149.18,0,1,32.13,4.5,2
C0194,M035,1,52,193.19,1,0,48.1,2.9,2
C0170,M045,1,53,297.99,1,1,45.15,3.1,0
C0366,M020,1,55,169.35,0,2,88.49,3.1,1
C0303,M007,1,43,265.37,1,1,104.55,2.6,1
C0440,M005,1,25,187.09,1,0,34.2,5.0,1
C0061,M015,1,45,207.62,1,1,48.73,4.3,1
C0350,M024,1,57,268.37,1,2,18.17,3.7,2
C0381,M029,0,22,132.62,0,0,22.0,3.2,2
C0158,M020,1,43,317.2,1,1,88.49,3.1,1
C0194,M041,1,52,193.19,1,0,32.56,4.9,0
C0148,M012,1,54,99.57,1,4,77.59,3.3,1
C0495,M026,1,57,125.36,0,1,28.14,4.4,2
C0229,M011,1,37,427.11,0,0,113.87,4.6,1
C0474,M022,1,29,398.27,0,1,25.47,5.0,2
C0209,M044,1,33,120.8,1,2,22.4,4.2,0
C0316,M002,0,64,368.4,0,2,83.59,4.5,1
C0234,M007,1,54,251.01,1,1,104.55,2.6,1
C0080,M028,1,21,53.0,1,4,15.0,3.1,2
C0016,M001,1,26,383.25,0,1,111.94,4.3,1
C0112,M028,1,50,325.24,1,1,15.0,3.1,2
C0328,M029,0,48,180.88,0,3,22.0,3.2,2
C0339,M036,1,22,121.77,1,1,30.04,5.0,0
C0341,M030,0,37,137.25,1,1,16.95,3.2,2
C0042,M025,1,24,134.54,1,3,34.2,5.0,2
C0099,M017,0,18,162.99,1,0,92.38,4.5,1
C0387,M028,1,62,319.57,0,3,15.0,3.1,2
C0404,M024,1,38,287.42,0,1,18.17,3.7,2
C0427,M035,1,47,274.25,1,1,48.1,2.9,2
C0286,M029,1,28,162.84,0,1,22.0,3.2,2
C0456,M045,0,22,180.3,1,2,45.15,3.1,0
C0295,M044,1,31,178.15,0,3,22.4,4.2,0
C0167,M042,1,43,351.35,0,1,37.48,4.7,0
C0455,M014,0,20,72.17,0,3,95.03,2.7,1
C0342,M036,1,64,253.85,0,1,30.04,5.0,0
C0102,M039,1,20,106.64,1,4,32.24,3.0,0
C0126,M043,0,48,309.23,0,3,34.4,4.4,0
C0293,M005,1,39,156.59,0,3,34.2,5.0,1
C0205,M029,1,58,217.1,0,4,22.0,3.2,2
C0441,M018,1,64,327.02,1,3,22.11,3.3,1
C0451,M046,0,36,436.74,0,3,34.35,3.1,0
C0073,M016,0,56,96.5,0,2,118.34,2.7,1
C0444,M012,1,41,299.87,0,2,77.59,3.3,1
C0372,M022,1,23,73.48,1,1,25.47,5.0,2
C0491,M007,1,26,264.78,0,3,104.55,2.6,1
C0163,M041,1,57,264.71,1,1,32.56,4.9,0
C0167,M009,1,43,351.35,0,1,93.4,4.9,1
C0096,M002,0,33,355.61,0,1,83.59,4.5,1
C0424,M021,1,36,367.43,0,2,32.13,4.5,2
C0316,M031,0,64,368.4,0,2,15.0,4.2,2
C0087,M038,1,23,189.48,0,1,64.32,3.1,0
C0210,M029,1,42,214.26,1,0,22.0,3.2,2
C0156,M013,1,36,251.38,1,0,37.85,2.8,1
C0019,M023,1,19,119.91,0,4,37.23,3.5,2
C0477,M025,1,34,115.91,1,1,34.2,5.0,2
C0353,M033,1,47,205.22,0,1,23.34,4.7,2
C0429,M043,1,31,323.48,1,0,34.4,4.4,0
C0310,M003,1,56,296.09,0,3,118.59,4.6,1
C0287,M027,1,64,161.9,0,3,15.0,4.3,2
C0476,M010,1,62,290.82,1,1,73.6,4.9,1
C0391,M036,1,28,288.8,1,0,30.04,5.0,0
C0005,M043,1,28,327.9,1,4,34.4,4.4,0
C0348,M012,0,22,50.0,0,1,77.59,3.3,1
C0082,M036,1,55,196.54,1,1,30.04,5.0,0
C0208,M017,1,64,411.98,1,4,92.38,4.5,1
C0345,M035,1,28,280.2,0,0,48.1,2.9,2
C0041,M002,0,59,182.86,0,3,83.59,4.5,1
C0296,M020,0,43,157.17,0,1,88.49,3.1,1
C0092,M034,1,57,52.42,0,3,16.74,4.9,2
C0026,M022,1,46,138.53,0,1,25.47,5.0,2
C0376,M032,1,47,334.35,1,0,15.0,3.0,2
C0111,M013,1,25,342.45,0,3,37.85,2.8,1
C0324,M001,1,39,280.57,1,1,111.94,4.3,1
C0008,M009,1,38,354.26,0,3,93.4,4.9,1
C0004,M006,1,28,276.59,1,1,78.26,4.9,1
C0077,M031,0,49,234.61,0,2,15.0,4.2,2
C0313,M011,1,42,267.46,1,3,113.87,4.6,1
C0195,M025,1,52,106.99,0,1,34.2,5.0,2
C0337,M023,1,28,133.06,0,3,37.23,3.5,2
C0419,M036,1,43,228.49,1,0,30.04,5.0,0
C0305,M036,1,62,282.02,1,4,30.04,5.0,0
C0452,M041,1,18,197.91,0,1,32.56,4.9,0
C0373,M041,1,23,210.74,0,0,32.56,4.9,0
C0033,M014,1,43,257.71,0,3,95.03,2.7,1
C0077,M026,1,49,234.61,0,2,28.14,4.4,2
C0454,M032,1,19,206.96,0,4,15.0,3.0,2
C0295,M018,1,31,178.15,0,3,22.11,3.3,1
C0499,M003,1,27,321.75,0,4,118.59,4.6,1
C0021,M038,0,61,207.31,0,1,64.32,3.1,0
C0038,M025,1,25,163.32,1,2,34.2,5.0,2
C0474,M015,1,29,398.27,0,1,48.73,4.3,1
C0114,M043,1,39,314.7,1,4,34.4,4.4,0
C0239,M034,1,18,210.02,1,1,16.74,4.9,2
C0308,M020,0,32,390.19,0,0,88.49,3.1,1
C0378,M026,0,44,330.79,1,2,28.14,4.4,2
C0322,M031,1,51,145.23,1,1,15.0,4.2,2
C0130,M028,1,48,150.34,1,0,15.0,3.1,2
C0003,M003,1,38,276.58,1,1,118.59,4.6,1
C0331,M044,1,41,230.88,1,3,22.4,4.2,0
C0362,M035,0,21,85.44,1,4,48.1,2.9,2
C0318,M046,1,25,401.45,0,3,34.35,3.1,0
C0348,M039,1,22,50.0,0,1,32.24,3.0,0
C0363,M018,1,42,228.38,1,2,22.11,3.3,1
C0084,M026,1,39,297.81,1,3,28.14,4.4,2
C0207,M045,0,31,279.98,1,1,45.15,3.1,0
C0132,M011,0,49,262.3,1,1,113.87,4.6,1
C0284,M034,1,19,125.93,1,0,16.74,4.9,2
C0165,M035,1,22,83.66,1,3,48.1,2.9,2
C0196,M009,1,56,152.35,1,1,93.4,4.9,1
C0080,M023,1,21,53.0,1,4,37.23,3.5,2
C0042,M014,1,24,134.54,1,3,95.03,2.7,1
C0313,M007,1,42,267.46,1,3,104.55,2.6,1
C0261,M024,1,48,275.56,1,1,18.17,3.7,2
C0374,M045,1,59,179.53,0,3,45.15,3.1,0
C0500,M030,0,29,494.59,0,3,16.95,3.2,2
C0370,M021,1,31,382.31,0,3,32.13,4.5,2
C0253,M044,1,62,225.22,0,3,22.4,4.2,0
C0121,M007,1,21,152.1,1,1,104.55,2.6,1
C0102,M031,1,20,106.64,1,4,15.0,4.2,2
C0175,M003,1,36,416.32,0,1,118.59,4.6,1
C0327,M003,1,47,202.61,1,3,118.59,4.6,1
C0289,M025,1,20,152.19,0,0,34.2,5.0,2
C0355,M003,1,26,249.16,0,1,118.59,4.6,1
C0245,M033,1,45,143.95,0,0,23.34,4.7,2
C0485,M039,1,41,257.63,0,2,32.24,3.0,0
C0343,M006,0,18,73.79,1,3,78.26,4.9,1
C0337,M043,1,28,133.06,0,3,34.4,4.4,0
C0255,M030,1,35,128.69,0,1,16.95,3.2,2
C0244,M031,1,45,377.13,1,0,15.0,4.2,2
C0124,M036,1,58,307.12,1,1,30.04,5.0,0
C0072,M028,1,29,317.46,1,3,15.0,3.1,2
C0112,M015,1,50,325.24,1,1,48.73,4.3,1
C0274,M038,1,28,421.28,0,3,64.32,3.1,0
C0220,M010,1,54,268.56,0,1,73.6,4.9,1
C0458,M029,0,51,76.41,0,1,22.0,3.2,2
C0138,M012,1,42,114.65,1,2,77.59,3.3,1
C0266,M026,1,18,117.54,1,1,28.14,4.4,2
C0369,M037,1,34,276.08,0,2,57.51,3.8,0
C0179,M008,1,44,298.63,1,1,84.02,4.2,1
C0087,M006,1,23,189.48,0,1,78.26,4.9,1
C0119,M043,1,45,318.01,1,0,34.4,4.4,0
C0394,M022,1,60,201.59,0,0,25.47,5.0,2
C0100,M018,1,26,378.18,0,0,22.11,3.3,1
C0340,M030,1,36,199.8,1,2,16.95,3.2,2
C0105,M033,1,28,385.4,0,0,23.34,4.7,2
C0208,M038,0,64,411.98,1,4,64.32,3.1,0
C0054,M042,1,21,98.75,1,1,37.48,4.7,0
C0242,M008,1,25,219.17,0,1,84.02,4.2,1
C0433,M013,1,25,159.25,1,3,37.85,2.8,1
C0278,M038,0,55,239.03,1,1,64.32,3.1,0
C0494,M021,1,60,391.66,0,1,32.13,4.5,2
C0190,M042,1,62,112.69,1,1,37.48,4.7,0
C0408,M008,1,43,215.85,0,1,84.02,4.2,1
C0262,M046,1,40,265.46,1,1,34.35,3.1,0
C0459,M031,1,61,221.6,1,1,15.0,4.2,2
C0238,M003,1,48,326.74,0,3,118.59,4.6,1
C0084,M029,1,39,297.81,1,3,22.0,3.2,2
C0420,M040,1,45,161.48,1,4,31.02,4.4,0
C0354,M046,1,28,450.5,1,4,34.35,3.1,0
C0412,M030,1,44,314.59,0,1,16.95,3.2,2
C0330,M005,1,53,304.77,1,1,34.2,5.0,1
C0065,M009,1,56,229.35,1,1,93.4,4.9,1
C0332,M026,1,45,177.39,0,4,28.14,4.4,2
C0158,M021,1,43,317.2,1,1,32.13,4.5,2
C0186,M034,1,34,237.73,0,4,16.74,4.9,2
C0145,M019,1,39,208.66,0,2,106.03,4.0,1
C0363,M010,1,42,228.38,1,2,73.6,4.9,1
C0485,M030,1,41,257.63,0,2,16.95,3.2,2
C0427,M035,1,47,274.25,1,1,48.1,2.9,2
C0216,M046,1,55,256.62,1,3,34.35,3.1,0
C0232,M042,1,42,282.14,1,3,37.48,4.7,0
C0021,M011,0,61,207.31,0,1,113.87,4.6,1
C0005,M006,1,28,327.9,1,4,78.26,4.9,1
C0442,M009,1,45,263.8,0,0,93.4,4.9,1
C0365,M005,1,25,96.19,1,0,34.2,5.0,1
C0264,M014,0,36,381.29,1,1,95.03,2.7,1
C0216,M037,1,55,256.62,1,3,57.51,3.8,0
C0262,M020,1,40,265.46,1,1,88.49,3.1,1
C0010,M034,1,61,96.94,1,1,16.74,4.9,2
C0443,M012,1,64,318.96,1,1,77.59,3.3,1
C0230,M035,1,30,377.09,0,3,48.1,2.9,2
C0035,M035,1,58,182.53,1,3,48.1,2.9,2
C0003,M038,1,38,276.58,1,1,64.32,3.1,0
C0343,M042,1,18,73.79,1,3,37.48,4.7,0
C0329,M025,1,41,50.0,1,0,34.2,5.0,2
C0176,M022,1,22,150.51,0,3,25.47,5.0,2
C0437,M044,1,49,324.85,1,3,22.4,4.2,0
C0067,M019,0,30,50.0,0,1,106.03,4.0,1
C0461,M046,1,63,143.26,1,1,34.35,3.1,0
C0275,M035,1,56,334.67,1,4,48.1,2.9,2
C0455,M006,0,20,72.17,0,3,78.26,4.9,1
C0227,M027,0,27,269.77,0,1,15.0,4.3,2
C0210,M024,1,42,214.26,1,0,18.17,3.7,2
C0392,M040,1,23,166.32,1,1,31.02,4.4,0
C0426,M030,1,46,204.11,1,1,16.95,3.2,2
C0080,M033,1,21,53.0,1,4,23.34,4.7,2
C0410,M011,1,43,174.2,1,1,113.87,4.6,1
C0474,M037,1,29,398.27,0,1,57.51,3.8,0
C0165,M018,1,22,83.66,1,3,22.11,3.3,1
C0372,M033,1,23,73.48,1,1,23.34,4.7,2
C0011,M019,1,42,315.32,1,1,106.03,4.0,1
C0035,M043,1,58,182.53,1,3,34.4,4.4,0
C0046,M001,1,39,472.65,1,0,111.94,4.3,1
C0403,M022,1,31,201.04,0,1,25.47,5.0,2
C0221,M007,1,55,342.35,0,2,104.55,2.6,1
C0437,M002,1,49,324.85,1,3,83.59,4.5,1
